책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-12,ㅈ*,구매,내용 평점5점  편집/디자인 평점5점,유튜브 5시간 강의도 있고 어플도 있어서 좋은거 같아요 무엇보다기출문제도 많은 점에서 민트책 대신 이책을 고른 이유입니다 ㅎㅎ 카페도 운영하고 있어서 질문 답변도 받을 수 있더라구요.!! 블로그에도 후기가 좋더라구요!! 다른 시험도 병행하느라 공부시간이 8일밖에 없지만 꼭 따고 오겠습니당! 책 안에 20일 공부 계획표?도 같이 정리되어 있어서 시간 여... 더보기,9791158394059,5.0
파이브 라인스 오브 코드,https://product.kyobobook.co.kr/detail/S000200661796,"크리스찬 클라우젠,김성원",2023-01-19,2023-10-12,hs****,구매자,4,도움이 많이 되었습니다,9791158393915,4.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-10-11,열*,,내용 평점4점  편집/디자인 평점4점,"우선 책의 제본상태가 매우 좋다. 개인적으로 이런 형식의 책을 좋아한다. 책의 내용은 우선 챗GPT에 대한 소개와 사용하는 방법을 설명한다. 그 다음은 챗GPT로 할 수 있는 업무에 대해 설명한다. '유투브', '블로거', '사진글', '가정교사' 등등 각종 플랫폼에 따른 활용방법을 찹터별로 설명해준다. 책 제목에 맞게 진짜 활용하는 방법을 다룬다. 챗 GPT에 대해... 더보기",9791158394608,4.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-11,d*******9,구매,내용 평점5점  편집/디자인 평점5점,어떤 책 구매해야되나 고민했는데 미어캣 책이 구매 후기 좋아서 구매했는데 구매하길 잘한 것 같아요 유튜브에 무료 강의도 해주시고 카페를 직접 운영해서 카페에서 여러 자료들을 제공해주고 직접 질문도 할 수 있어서 좋습니다 다른 책은 오탈자 심해서 못보겠다고 하던데 이 책은 오탈자 심하지 않고 보기 편해요 분철 고민했는데 안해도 불편한 정도 아니어서... 더보기,9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-11,earlgrey,구매,5점,"ADsP 자격증 취득을 위해 검색후 발견한 이 책 주문했습니다! 책 디자인도 깔끔하고, 정리도 잘되어있는것같아 만족합니다~~",9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-10,아로하하,구매,5점,책 추천해요! 앱으로 모의고사문제로 공부하면서 여러가지를 학습할 수 있도록 해놓은 게 좋습니다.  해설도 친절해서 좋아요,9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-10,vs9258,구매,5점,공부하는데 큰 도움이 됩니다.,9791158394059,5.0
[eBook] 2023 이지패스 ADsP 데이터분석 준전문가 (수험서 앱 제공),http://www.yes24.com/Product/Goods/116974518,"전용문, 박현민 저",2023-01-17,2023-10-09,s******7,구매,내용 평점5점  편집/디자인 평점5점,저도 시험이 얼마 남지 않은 시점에 미어캣 책을 접하게 되어서 구매 후 열심히 공부하고 있습니다.비록 데이터 쪽 전공을 하지 않아도 쉬운 예문과 예제로 접근할 수 있도록 구성이 되어 있어서 아주 좋습니다.그리고 예상문제와 기출문제가 꼼꼼히 잘 수록 되어 있어서 개인적으로 공부하기에도 전혀 손색이 없어 보입니다.구매를 생각중이신 분들께서는 꼭 구매하... 더보기,9791158394073,5.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-09,강*기,구매,평점5점,"혼자서 ADsP 시험 준비하기 좋습니다. 강의, 까페운영 해주셔서 막막함이 줄어듭니다.",9791158394059,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-10-09,kimminjin48,구매,5점,인공지능을 공부하며 adsp가 꼭 필요해서 구매했어요!통계는 비전공이라서 겁부터 먹었는데 설명이 쉽게 되어있어서 너무 좋았고 가독성이 좋아서 맘에 들어요!기출 문제와 모의고사까지 있어서 시험 대비 책으로 완전 적합합니다!,9791158394059,5.0
