책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-07,g******6,구매,내용 평점5점  편집/디자인 평점5점,"비전공자 맞춤형으로 설명도 잘 되어 있고, 이해하기도 쉬워서 추천합니다! 최근에 데이터 관련 자격증이 필요해서 취득하고자 공부 중인데, 이지패스 교재가 도움 많이되고 있어요~! 이번에 공부 열심히 해서 자격증도 취득하고 이재패스 교재로 주변 사람에게 많이 추천해 보겠습니다 ㅎㅎ 주변에서는 다른 책으로 공부하고 있는 친구들도 있는데, 이지패스만큼 설... 더보기",9791158394059,5.0
디버깅을 통해 배우는 리눅스 커널의 구조와 원리 2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=238416567,김동현,2020-05-12,2023-10-07,ae,구매,5점,매우 강추합니다. 약간의 리눅스 및 리눅스 시스템 프로그래밍 지식만 있으면 실습하며 리눅스 커널을 배울 수 있습니다.,9791158391997,5.0
디버깅을 통해 배우는 리눅스 커널의 구조와 원리 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=238415482,김동현,2020-05-12,2023-10-07,ae,구매,5점,이 책 정말 좋습니다. 실습하면서 배울 수 있습니다..,9791158391980,5.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-06,su*********************,,4,유명한 책은 오타가 많다고 해서 이책으로 구매했더니 깔끔하고 이해도 잘돼요! 앱도 있어서 공부하기 좋아요 추천합니다,9791158394059,4.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-10-05,tr******,구매자,4,쉽게 따라서 해보면서 배울 수 있어 좋았습니다,9791158394615,4.0
그림과 작동 원리로 쉽게 이해하는 서버의 기초,http://www.yes24.com/Product/Goods/118547452,키하시 마사히로 저/김모세 역,2023-04-26,2023-10-04,-*,구매,내용 평점4점  편집/디자인 평점4점,"네트워크 기초, 실무에서 서버란걸 눈으로 보거나 정 그게 아니면 듣기라도 한 사람이면 추천. 그게 아니면 비추. 예를들면 수 많은 서버간에네트워크로 연결이 되어있는데, 그러한 네트워크 구성을 알려주는 이 책의 파트에서 OSI7계층에 대해 몰라도 이해는 되겠지만, OSI7계층에 대해미리 알고 있다면 , 좀 더 쉽게 읽을 수 있음. 하지만 그러한 개념이 잘 안... 더보기",9791158394240,4.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-04,s*******2,구매,평점5점,정리가 논리적으로 잘 되어있어서 공부하기 편해요!,9791158394059,5.0
스프링 부트 핵심 가이드,http://www.yes24.com/Product/Goods/110142898,장정우 저,2022-06-24,2023-10-04,w*******2,구매,평점5점,설명이 쉽게 잘 되어있고 저자의 강좌도 들을 수 있어 좋습니다.,9791158393083,5.0
"GPT-4, ChatGPT, 라마인덱스, 랭체인을 활용한 인공지능 프로그래밍",https://product.kyobobook.co.kr/detail/S000209182535,"후루카와 히데카즈,트랜스메이트",2023-09-21,2023-10-03,su*****,구매자,4,선물했는데 좋아했으면 좋겠어요,9791158394622,4.0
진짜 챗GPT API 활용법,https://product.kyobobook.co.kr/detail/S000208506795,"김준성,유원준,안상준",2023-08-23,2023-10-03,su*****,구매자,4,선물했는데 좋아했으면 좋겠어요,9791158394608,4.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-02,새*,구매,평점5점,"저자 무료 직강, 문제 어플, 깔끔하고 자세한 개념정리 등 여러가지로 좋았습니다!",9791158394059,5.0
진짜 챗GPT API 활용법,https://product.kyobobook.co.kr/detail/S000208506795,"김준성,유원준,안상준",2023-08-23,2023-10-01,st****,구매자,4,실무에서 사용될 수 있는 좋은 사례들을 만들어서 설명해 주고 있습니다. 업무에 많은 도움이 될 것 같습니다,9791158394608,4.0
실전! 스프링 부트와 리액트로 시작하는 모던 웹 애플리케이션 개발,https://product.kyobobook.co.kr/detail/S000201237157,"주하 힌쿨라,최민석",2023-03-16,2023-10-01,bs*****,구매자,4,아직 까진 잘 모르겠음 ,9791158394097,4.0
진짜 챗GPT 활용법,http://www.yes24.com/Product/Goods/117936860,"김준성, 유원준, 안상준 저",2023-03-21,2023-09-30,r*******8,구매,내용 평점5점  편집/디자인 평점5점,"바쁘게 하루하루 일하고, 저녁에 잠시 쉬면서 이런저런 세상에 관련된 정보를 찾고 있는 보통 자영업자입니다. 작년말부터 챗GPT 에 대한 이야기가 하나 둘 나오더군요. 초창기에는 그저 매년 불기둥처럼 나왔다가 사라지는 그런 단어로 생각했습니다. 그 중 대표적인게 메타버스였죠. 당시에도 메타버스 관련 된 너무 많은 이야기가 나와서 흥미롭게 찾아... 더보기",9791158394264,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2023-09-30,북*그,구매,내용 평점5점  편집/디자인 평점5점,장황한설명과 단순한 예제코드로명령어만 따라 하던 책들과는 달리 그림이 많아이해하기도 쉽고 전체적인 구성도 볼 수 있으며글도 잘 읽힙니다. 처음부터도커나 쿠버네티스에 대해 감을 잡기가 어렵거나기초에 대한 내용을 찾는다면 쉽게 이해할 수 있고 내용이 알차서입문서로 좋을 것 같습니다. 내용도 흥미로워서천천히 따라가면서 읽다보면 금새 다 읽게 되네요... 더보기,9791158393038,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-09-30,galchi0510_,구매,4점,"가장 최신판의 교재 다른 책들에 비해 가장 최신판의 교재라고 느껴졌으며카페, 오픈카톡 등을 활용해서 스터디를 진행하는게 강점입니다.",9791158394059,4.0
진짜 챗GPT 활용법,http://www.yes24.com/Product/Goods/117936860,"김준성, 유원준, 안상준 저",2023-03-21,2023-09-28,t***y,구매,평점5점,활용도가 좋네요,9791158394264,5.0
24단계 실습으로 정복하는 쿠버네티스,http://www.yes24.com/Product/Goods/115187666,이정훈 저,2022-11-10,2023-09-28,북*그,구매,평점5점,다양한 예제와 내용이 좋습니다.,9791158393717,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2023-09-27,북*그,구매,평점5점,내용과 설명이 쉬워 입문으로 좋은 책입니다.,9791158393038,5.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-09-27,ye******,구매자,4,"파이썬 문법 / 웹 API 기초 / 인공지능 API를 활용한 애플리케이션 개발까지 필요한 내용이 골고루 잘 들어가있습니다! 
프로그래밍 관련 기본서들이 1권당 평균적으로 3-500페이지인 데 비해 여기서는 약 120페이지 내에서 필수적인 파이썬 문법 등을 다룬 뒤 나머지 페이지에서는 API 및 애플리케이션 제작 실습과 관련된 내용을 다루기 때문에 지루해서 책을 그만 읽는 일은 없을 듯 합니다. 
파이썬을 써본 적은 있지만 오래되서 기억이 안나는 사람들 혹은 파이썬 문법밖에 모르지만 인공지능 관련 서비스를 만들어보고 싶은 사람들이 있다면 책 내용에 있는 실습들이 굉장히 흥미롭고 도움이 많이 될 거 같습니다!! ",9791158394615,4.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-09-27,mi*******,구매자,4,"Ai가 이슈인 지금 만들면서 배우는 나만의 인공지능 서비스라는 책은 이 시대에 꼭 읽어봐야하는 책 입니다. 3챕터로 이뤄진 이 책은 파이썬 기초를 배우고 인공지능 API를 활용하고, 인공지능 애플리케이션을 개발 할 수 있게 설계되어 있습니다. 전 파이썬을 알고 있지만 웹 API나 스트림릿에 대해 모르는 상태였습니다. 기본부터 알려주는 이 책 덕분에 겁낼 틈 없이 스며들어 초보자에게 추천하고싶습니다. 인공지능 서비스 만들어보고 싶다. 기초를 다지고 싶다. 하는 사람에게 강력추천합니다!",9791158394615,4.0
만들면서 배우는 나만의 인공지능 서비스,http://www.yes24.com/Product/Goods/122124215,최은석 저,2023-09-06,2023-09-26,가*니,구매,내용 평점5점  편집/디자인 평점5점,인공지능 api를 활용하여 웹개발에 사용하고 싶었는데 해당 책을 참고하면 좋을 거 같아요! 구성자체가 간단하고 그림도 다양하게 첨부되어있어서 읽는데 어렵지 않을 거 같아요!! 이 책을 다 읽고 나면 확실히 인공지능 서비스를 여러가지 접하고 재밌게 공부하는 것을 목표로 하겠습니다! 책을 다 읽고 나서는 실제 프로젝트에도 적용해보는 시간을 가져서 프로젝... 더보기,9791158394615,5.0
[eBook] 2023 이지패스 ADsP 데이터분석 준전문가 (수험서 앱 제공),http://www.yes24.com/Product/Goods/116974518,"전용문, 박현민 저",2023-01-17,2023-09-26,강*이,구매,내용 평점5점  편집/디자인 평점5점,이 자격증에 대표 책 3개가 있는데 이거는 e북도 제공되어서 이 책을 선택하게 되었습니다 이북이라 필기나 하이라이트 표시는 안되지만 책 내용이 정리가 잘 되어있어서 크게 문제될건 없다고 생각합니다 단원별로 문제가 있어서 내용을 복습하기에 좋고 이해하기도 쉽습니다 한 페이지에 있는 내용도 적당하고 글간격도 괜찮고 눈이 편합니다 다량의 문제는 따... 더보기,9791158394073,5.0
[eBook] 2023 이지패스 ADsP 데이터분석 준전문가 (수험서 앱 제공),http://www.yes24.com/Product/Goods/116974518,"전용문, 박현민 저",2023-01-17,2023-09-26,강*이,구매,평점5점,필기나 하이라이트 표시는 안되지만 그래도 이북으로 볼 수 있어서 정말 편하고 좋아요,9791158394073,5.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-09-26,sn****,구매자,4,"&lt;거인의 어깨에 올라서서 더 넓은 세상을 바라보라&gt;
저자 서문에서 '거인의 어깨에 올라서서 더 넓은 세상을 바라보라' 라는 문장이 와 닿았습니다. 내가 새로운 지식이나 기술의 선두자가 되지는 못해도 그 지식을 이해하고 활용할 줄 안다면 우린 그들과 같은 시야를 공유할 것입니다. 
이 책은 인공지능이라는 거인의 어깨에 올라타는 길을 상세히 알려주고 있습니다.

책의 내용은 최신 인공지능 API를 활용하여 나만의 인공지능 서비스를 만드는 방법을 다루고 있습니다. 기초적인 Python 문법부터 인공지능 웹, 앱을 만들기 위한 내용까지 예제와 코드를 바탕으로 친절하게 설명하며, 컴퓨터 프로그래밍 경험이 없는 초보자도 따라 할 수 있도록 구성되어 있습니다. 기계 학습이나 인공지능에 대한 전문 지식이 없더라도, 최신 인공지능 API를 사용하여 다양한 인공지능 앱을 만드는 방법을 상세하게 설명하므로 나만의 인공지능 서비스를 만들어 나가고자 하는 모든 분들에게 훌륭한 안내서가 될 것입니다.
",9791158394615,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-09-26,su*****,구매자,4,선물했는데 좋아했으면 하네요,9791158394639,4.0
실전! 컴퓨터비전을 위한 머신러닝,https://product.kyobobook.co.kr/detail/S000202999618,"발리아파 락슈마난,마틴 괴르너,라이언 길라드,최용",2023-07-18,2023-09-26,ro********,구매자,4,좋은책입니다  읽어보면 저자의내공이느겨짐,9791158394417,4.0
만들면서 배우는 나만의 인공지능 서비스,http://www.yes24.com/Product/Goods/122124215,최은석 저,2023-09-06,2023-09-25,굥*,구매,내용 평점5점  편집/디자인 평점5점,"전공 시간 이외에 개인적으로 인공지능 서비스를 만들고 싶어 구매한 책입니다. 파이썬 기초, 챗 GPT, 인공지능 앱 개발 등 다양한 내용을 다루고 있어요. 최신 책이라서 트렌드에 맞는 인공지능 API활용, 애플리케이션 개발 예제들이 많아 도움이 많이 되었어요. 파이썬 기초지식이 필요하나 책에도 설명이 잘 되어있어 프로그래밍 입문자들에게도 추천합니다!! 더보기",9791158394615,5.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-09-25,r*********7,구매,평점5점,"강의 활용할 수 있고, 커뮤니티도 활성화 되어있어서 좋아요. 꼭 합격하겠습니다:)",9791158394059,5.0
만들면서 배우는 나만의 인공지능 서비스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323617641,최은석,2023-09-06,2023-09-25,thrcle,구매,4점,인공지능 기술을 활용해볼수있는 실전 지침서 파이썬이나 엑셀을 의미없이 문법만 배워봤자 크게 의미가 없듯이 ai기술도 유용한 가치를 만들어내지 않으면 단순히 ’신기하다‘는 느낌만 준채 잊혀지기 마련이다. 인공지능을 활용한 앱개발 프로젝트를 통해서 실력을 한차례 업그레이드 할 수있는 계기가 되었으면 좋겠다. 책 두께가 400쪽 미만이라 크게 부담없이 시도할 수 있고여러 파트의 지식을 넓고 얕게 다룸. 이론서가 아니라 기능구현에 초점을 맞춘 실전서이다.,9791158394615,4.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-09-25,cindy1999060,구매,5점,"adsp 교재 끝판왕 ADsP 시험 준비할 때 해당 책이 설명도 꼼꼼하고 커뮤니티도 잘 관리되어있어, 실제로 공부하는데에 튼 도움이 되겠더라구요. 책 구매 후 스터디도 들을 수 있고 각종 부가 자료를 받을 수 있는 기회가 많아서 추천합니다. 좋은 책 만들어주셔서 감사합니다. 자격증 한방에 따보겠습니다!",9791158394059,5.0
만들면서 배우는 나만의 인공지능 서비스,http://www.yes24.com/Product/Goods/122124215,최은석 저,2023-09-06,2023-09-24,-*,구매,내용 평점5점  편집/디자인 평점5점,"[ 만들면서 배울 수 있는 입문자를 위한 인공지능 도서 ] 나만의 인공지능 서비스를 만들 수 있도록 설명되어 있어요. 파이썬의 기초적인 문법부터 차근차근 배울 수 있어서 좋네요. 코드에 대한 설명도 잘 나와있습니다! 간단한 인공지능 서비스를 먼저 예제로 만들어보고, 그걸 응용하면 충분히 개인 인공지능 서비스도 만들 수 있을 것 같아요 ! 어떻게 만드는... 더보기",9791158394615,5.0
만들면서 배우는 나만의 인공지능 서비스,http://www.yes24.com/Product/Goods/122124215,최은석 저,2023-09-06,2023-09-24,S*,구매,내용 평점5점  편집/디자인 평점5점,만들면서 배우는 나만의 인공지능 서비스는 현대의 인공지능 기술을 다루는 가이드를 제공하는 책입니다. 처음에는 어려운 내용이 아닌 파이썬 함수로 부터 시작을 해서 최종에 책을 다 학습하면 누구나 GPT API를 활용해서 웹 서비스 더 나아가 플랫폼까지도 만들 수 있는 솔루션을 제공해주는 책이라고 생각합니다. 저도 이 책을 통해서 꼭 제가 만들고 싶었던 서... 더보기,9791158394615,5.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-09-24,rl*******,구매자,4,"책 제목 그대로 실제로 AI를 접목한 서비스에 대해 감을 잡을 수 있게 해주는 책 입니다. 파이썬 필수 문법, HTTP 원리, API 사용법 등 서비스개발에 꼭 필요한 기반지식이 포함되어 있는 점이 다른책과는 다른 이 책의 차별점 이라고 생각합니다. 난이도도 어렵지 않아서 이제 막 파이썬 기초문법을 뗀 초보자가 보기에도 좋고, AI 연구자이지만 실 서비스개발에 적용하는법을 배우고 싶은사람이 보기에도 좋습니다.",9791158394615,4.0
